,Şehir,İlçe,Cinsiyet,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlköğretim,Ortaokul veya dengi okul,Lise veya dengi okul,Yüksekokul veya fakülte,Yüksek lisans,Doktora,Bilinmeyen,Toplam
23,Bolu,Mengen,Toplam,537,492,4827,1332,967,1992,1070,47,11,67,11342
25,Bolu,Mudurnu,Erkek,127,344,2488,1212,859,1705,714,50,4,14,7517
26,Bolu,Mudurnu,Kadın,677,883,3240,974,474,868,469,21,5,19,7630
27,Bolu,Mudurnu,Toplam,804,1227,5728,2186,1333,2573,1183,71,9,33,15147
29,Bolu,Seben,Erkek,59,140,830,181,196,426,235,24,7,3,2101
30,Bolu,Seben,Kadın,282,319,997,205,82,276,136,7,4,1,2309
31,Bolu,Seben,Toplam,341,459,1827,386,278,702,371,31,11,4,4410
33,Bolu,Yeniçağa,Erkek,38,52,875,346,383,744,319,16,3,9,2785
34,Bolu,Yeniçağa,Kadın,321,209,1267,292,189,500,212,8,1,13,3012
35,Bolu,Yeniçağa,Toplam,359,261,2142,638,572,1244,531,24,4,22,5797
1,Burdur,Ağlasun,Erkek,15,29,1042,614,432,746,297,14,3,4,3196
2,Burdur,Ağlasun,Kadın,166,226,1708,353,299,434,174,12,3,6,3381
3,Burdur,Ağlasun,Toplam,181,255,2750,967,731,1180,471,26,6,10,6577
5,Burdur,Altınyayla,Erkek,44,67,879,372,217,343,179,12,0,12,2125
6,Burdur,Altınyayla,Kadın,264,303,838,252,141,255,123,5,2,9,2192
7,Burdur,Altınyayla,Toplam,308,370,1717,624,358,598,302,17,2,21,4317
9,Burdur,Bucak,Erkek,170,354,6839,3371,2606,5967,3843,310,82,37,23579
10,Burdur,Bucak,Kadın,1445,1786,8676,2730,1881,4520,3066,190,38,53,24385
11,Burdur,Bucak,Toplam,1615,2140,15515,6101,4487,10487,6909,500,120,90,47964
13,Burdur,Burdur Merkez,Erkek,150,447,8310,5014,3497,10117,8019,830,289,143,36816
14,Burdur,Burdur Merkez,Kadın,1301,1566,13316,4513,2874,8191,6523,487,190,168,39129
15,Burdur,Burdur Merkez,Toplam,1451,2013,21626,9527,6371,18308,14542,1317,479,311,75945
17,Burdur,Çavdır,Erkek,56,157,1686,848,542,1094,414,47,4,21,4869
18,Burdur,Çavdır,Kadın,376,567,1979,654,300,830,350,14,2,25,5097
19,Burdur,Çavdır,Toplam,432,724,3665,1502,842,1924,764,61,6,46,9966
21,Burdur,Çeltikçi,Erkek,18,27,837,277,277,409,190,7,1,5,2048
22,Burdur,Çeltikçi,Kadın,97,236,1347,192,159,175,117,4,2,6,2335
23,Burdur,Çeltikçi,Toplam,115,263,2184,469,436,584,307,11,3,11,4383
25,Burdur,Gölhisar,Erkek,106,187,2614,1249,838,1700,1321,108,31,115,8269
26,Burdur,Gölhisar,Kadın,601,657,2855,971,658,1514,1031,51,12,107,8457
27,Burdur,Gölhisar,Toplam,707,844,5469,2220,1496,3214,2352,159,43,222,16726
29,Burdur,Karamanlı,Erkek,17,68,1046,462,342,802,359,27,2,13,3138
30,Burdur,Karamanlı,Kadın,125,328,1421,335,225,526,232,10,0,12,3214
31,Burdur,Karamanlı,Toplam,142,396,2467,797,567,1328,591,37,2,25,6352
33,Burdur,Kemer,Erkek,11,22,593,176,119,263,89,2,1,2,1278
34,Burdur,Kemer,Kadın,86,86,834,156,68,157,60,2,2,1,1452
35,Burdur,Kemer,Toplam,97,108,1427,332,187,420,149,4,3,3,2730
37,Burdur,Tefenni,Erkek,47,116,1342,458,494,932,499,42,5,31,3966
38,Burdur,Tefenni,Kadın,251,472,1652,459,353,648,370,24,6,47,4282
39,Burdur,Tefenni,Toplam,298,588,2994,917,847,1580,869,66,11,78,8248
41,Burdur,Yeşilova,Erkek,72,190,2543,777,751,1217,557,42,6,100,6255
42,Burdur,Yeşilova,Kadın,473,782,3449,536,414,734,416,15,1,97,6917
43,Burdur,Yeşilova,Toplam,545,972,5992,1313,1165,1951,973,57,7,197,13172
1,Bursa,Büyükorhan,Erkek,298,471,1283,570,295,620,299,13,5,5,3859
2,Bursa,Büyükorhan,Kadın,1286,417,1371,486,163,318,143,5,0,5,4194
3,Bursa,Büyükorhan,Toplam,1584,888,2654,1056,458,938,442,18,5,10,8053
5,Bursa,Gemlik,Erkek,302,584,7952,5966,4441,13305,7071,411,65,318,40415
6,Bursa,Gemlik,Kadın,1885,1801,12353,5042,3742,10293,5988,322,27,298,41751
7,Bursa,Gemlik,Toplam,2187,2385,20305,11008,8183,23598,13059,733,92,616,82166
9,Bursa,Gürsu,Erkek,223,459,4965,6616,3458,8888,3775,167,13,201,28765
10,Bursa,Gürsu,Kadın,1662,1510,8289,5376,2512,6189,2805,114,19,280,28756
11,Bursa,Gürsu,Toplam,1885,1969,13254,11992,5970,15077,6580,281,32,481,57521
13,Bursa,Harmancık,Erkek,98,98,842,313,258,631,258,14,3,7,2522
14,Bursa,Harmancık,Kadın,626,231,1024,300,162,297,170,6,0,12,2828
15,Bursa,Harmancık,Toplam,724,329,1866,613,420,928,428,20,3,19,5350
17,Bursa,İnegöl,Erkek,840,1459,20002,19697,10678,23910,11524,731,93,589,89523
18,Bursa,İnegöl,Kadın,5123,4085,30563,14827,7610,18489,8983,478,71,745,90974
19,Bursa,İnegöl,Toplam,5963,5544,50565,34524,18288,42399,20507,1209,164,1334,180497
21,Bursa,İznik,Erkek,236,401,5778,1987,1886,4014,2082,113,14,70,16581
22,Bursa,İznik,Kadın,1386,914,7695,1800,1063,2790,1559,71,12,82,17372
23,Bursa,İznik,Toplam,1622,1315,13473,3787,2949,6804,3641,184,26,152,33953
25,Bursa,Karacabey,Erkek,456,814,9340,4796,3146,7881,3984,253,24,147,30841
26,Bursa,Karacabey,Kadın,2570,2048,12205,3945,2090,5369,3043,151,13,178,31612
27,Bursa,Karacabey,Toplam,3026,2862,21545,8741,5236,13250,7027,404,37,325,62453
29,Bursa,Keles,Erkek,166,295,1777,578,590,881,449,24,2,14,4776
30,Bursa,Keles,Kadın,735,386,2557,433,264,469,269,21,3,30,5167
31,Bursa,Keles,Toplam,901,681,4334,1011,854,1350,718,45,5,44,9943
33,Bursa,Kestel,Erkek,170,329,4444,4028,2489,7236,3389,220,15,118,22438
34,Bursa,Kestel,Kadın,1106,970,6708,3586,2167,5421,2928,121,16,155,23178
35,Bursa,Kestel,Toplam,1276,1299,11152,7614,4656,12657,6317,341,31,273,45616
37,Bursa,Mudanya,Erkek,201,402,7450,3570,3520,10361,7698,717,213,477,34609
38,Bursa,Mudanya,Kadın,1208,1228,11515,2971,3120,9285,6909,591,154,536,37517
39,Bursa,Mudanya,Toplam,1409,1630,18965,6541,6640,19646,14607,1308,367,1013,72126
41,Bursa,Mustafakemalpaşa,Erkek,585,1133,12448,5046,3914,9500,4704,321,52,136,37839
42,Bursa,Mustafakemalpaşa,Kadın,3105,2721,16077,4533,2738,6722,3674,190,34,150,39944
43,Bursa,Mustafakemalpaşa,Toplam,3690,3854,28525,9579,6652,16222,8378,511,86,286,77783
45,Bursa,Nilüfer,Erkek,475,982,14944,12723,12096,49386,49505,6283,1471,752,148617
46,Bursa,Nilüfer,Kadın,3422,3307,27412,12021,12039,44652,47027,5456,986,798,157120
47,Bursa,Nilüfer,Toplam,3897,4289,42356,24744,24135,94038,96532,11739,2457,1550,305737
49,Bursa,Orhaneli,Erkek,298,446,2514,1116,715,1563,660,48,11,11,7382
50,Bursa,Orhaneli,Kadın,1373,596,3331,931,456,960,406,22,6,8,8089
51,Bursa,Orhaneli,Toplam,1671,1042,5845,2047,1171,2523,1066,70,17,19,15471
53,Bursa,Orhangazi,Erkek,175,504,6820,4122,3637,9558,4165,237,31,119,29368
54,Bursa,Orhangazi,Kadın,1498,1523,10441,3838,2630,6550,3231,141,34,111,29997
55,Bursa,Orhangazi,Toplam,1673,2027,17261,7960,6267,16108,7396,378,65,230,59365
57,Bursa,Osmangazi,Erkek,1940,4015,54388,60192,36381,101652,48177,3258,598,1726,312327
58,Bursa,Osmangazi,Kadın,13306,12838,91085,49246,29833,74677,43065,2577,395,1881,318903
59,Bursa,Osmangazi,Toplam,15246,16853,145473,109438,66214,176329,91242,5835,993,3607,631230
61,Bursa,Yenişehir,Erkek,196,491,6793,2544,2158,4548,2678,142,20,56,19626
62,Bursa,Yenişehir,Kadın,1431,1197,9201,2248,1379,3245,1956,90,9,70,20826
63,Bursa,Yenişehir,Toplam,1627,1688,15994,4792,3537,7793,4634,232,29,126,40452
65,Bursa,Yıldırım,Erkek,1892,4141,39128,47303,27761,70346,33300,1918,251,1395,227435
66,Bursa,Yıldırım,Kadın,12238,13184,66983,35626,22093,51352,27765,1374,163,1794,232572
67,Bursa,Yıldırım,Toplam,14130,17325,106111,82929,49854,121698,61065,3292,414,3189,460007
1,Denizli,Acıpayam,Erkek,125,581,7546,3292,2246,4631,2561,206,23,195,21406
2,Denizli,Acıpayam,Kadın,776,2951,8143,2517,1738,3666,1997,86,17,166,22057
3,Denizli,Acıpayam,Toplam,901,3532,15689,5809,3984,8297,4558,292,40,361,43463
5,Denizli,Babadağ,Erkek,16,81,1112,542,248,360,151,6,1,8,2525
6,Denizli,Babadağ,Kadın,90,255,1129,409,157,290,129,1,2,6,2468
7,Denizli,Babadağ,Toplam,106,336,2241,951,405,650,280,7,3,14,4993
9,Denizli,Baklan,Erkek,7,52,819,296,309,529,167,5,1,10,2195
10,Denizli,Baklan,Kadın,70,240,1201,211,148,270,122,6,0,10,2278
11,Denizli,Baklan,Toplam,77,292,2020,507,457,799,289,11,1,20,4473
13,Denizli,Bekilli,Erkek,6,97,1113,313,265,586,249,18,1,37,2685
14,Denizli,Bekilli,Kadın,197,454,1254,256,226,420,183,8,1,38,3037
15,Denizli,Bekilli,Toplam,203,551,2367,569,491,1006,432,26,2,75,5722
17,Denizli,Beyağaç,Erkek,15,74,763,463,292,744,244,14,0,4,2613
18,Denizli,Beyağaç,Kadın,71,368,967,340,307,387,154,3,1,6,2604
19,Denizli,Beyağaç,Toplam,86,442,1730,803,599,1131,398,17,1,10,5217
21,Denizli,Bozkurt,Erkek,21,169,1456,819,426,915,411,26,1,28,4272
22,Denizli,Bozkurt,Kadın,121,601,1657,749,322,613,280,5,2,39,4389
23,Denizli,Bozkurt,Toplam,142,770,3113,1568,748,1528,691,31,3,67,8661
25,Denizli,Buldan,Erkek,38,325,3764,1627,955,2185,1104,83,7,39,10127
26,Denizli,Buldan,Kadın,292,1050,5013,1150,619,1646,957,40,9,39,10815
27,Denizli,Buldan,Toplam,330,1375,8777,2777,1574,3831,2061,123,16,78,20942
29,Denizli,Çal,Erkek,45,195,2758,1096,902,1681,823,42,5,34,7581
30,Denizli,Çal,Kadın,323,1078,3694,692,606,1122,564,30,5,33,8147
31,Denizli,Çal,Toplam,368,1273,6452,1788,1508,2803,1387,72,10,67,15728
33,Denizli,Çameli,Erkek,43,380,3395,1265,597,1095,570,49,1,5,7400
34,Denizli,Çameli,Kadın,271,1136,3775,801,284,700,385,25,8,6,7391
35,Denizli,Çameli,Toplam,314,1516,7170,2066,881,1795,955,74,9,11,14791
37,Denizli,Çardak,Erkek,18,122,1107,611,308,754,353,17,5,51,3346
38,Denizli,Çardak,Kadın,133,474,1296,398,229,545,192,9,2,40,3318
39,Denizli,Çardak,Toplam,151,596,2403,1009,537,1299,545,26,7,91,6664
41,Denizli,Çivril,Erkek,215,784,7342,3411,2653,5187,2354,176,20,186,22328
42,Denizli,Çivril,Kadın,1681,2066,10198,2347,1655,3645,1772,95,15,185,23659
43,Denizli,Çivril,Toplam,1896,2850,17540,5758,4308,8832,4126,271,35,371,45987
45,Denizli,Güney,Erkek,63,139,1546,697,383,764,288,13,4,9,3906
46,Denizli,Güney,Kadın,379,548,1780,458,234,549,203,10,0,4,4165
47,Denizli,Güney,Toplam,442,687,3326,1155,617,1313,491,23,4,13,8071
49,Denizli,Honaz,Erkek,67,288,3104,2491,1150,2663,925,53,10,48,10799
50,Denizli,Honaz,Kadın,324,1054,4059,1693,725,1768,757,29,4,49,10462
51,Denizli,Honaz,Toplam,391,1342,7163,4184,1875,4431,1682,82,14,97,21261
53,Denizli,Kale,Erkek,48,335,2887,1233,848,1358,662,60,8,17,7456
54,Denizli,Kale,Kadın,247,1111,3402,890,483,1004,549,31,4,13,7734
55,Denizli,Kale,Toplam,295,1446,6289,2123,1331,2362,1211,91,12,30,15190
57,Denizli,Merkezefendi,Erkek,325,1164,19016,17236,10339,30288,23671,2137,609,543,105328
58,Denizli,Merkezefendi,Kadın,2148,5659,26986,14456,8149,27971,22356,1738,368,601,110432
59,Denizli,Merkezefendi,Toplam,2473,6823,46002,31692,18488,58259,46027,3875,977,1144,215760
61,Denizli,Pamukkale,Erkek,283,1261,22664,22983,11947,35851,21436,1757,562,732,119476
62,Denizli,Pamukkale,Kadın,2272,5777,32740,19076,9443,30386,19678,1503,415,787,122077
63,Denizli,Pamukkale,Toplam,2555,7038,55404,42059,21390,66237,41114,3260,977,1519,241553
65,Denizli,Sarayköy,Erkek,43,303,3506,1987,1330,2758,1293,80,5,66,11371
66,Denizli,Sarayköy,Kadın,190,1227,4416,1480,934,2276,1025,40,8,62,11658
67,Denizli,Sarayköy,Toplam,233,1530,7922,3467,2264,5034,2318,120,13,128,23029
69,Denizli,Serinhisar,Erkek,28,194,2041,856,645,1134,392,23,2,17,5332
70,Denizli,Serinhisar,Kadın,399,679,2064,704,492,978,360,8,5,21,5710
71,Denizli,Serinhisar,Toplam,427,873,4105,1560,1137,2112,752,31,7,38,11042
73,Denizli,Tavas,Erkek,122,501,7092,2665,1598,3182,1629,110,15,203,17117
74,Denizli,Tavas,Kadın,1003,2753,8069,1794,997,2158,1207,55,12,185,18233
75,Denizli,Tavas,Toplam,1125,3254,15161,4459,2595,5340,2836,165,27,388,35350
1,Diyarbakır,Bağlar,Erkek,3075,8085,16553,26972,12274,29391,17142,1105,133,284,115014
2,Diyarbakır,Bağlar,Kadın,19596,21297,18741,17242,7007,20626,12201,528,55,392,117685
3,Diyarbakır,Bağlar,Toplam,22671,29382,35294,44214,19281,50017,29343,1633,188,676,232699
5,Diyarbakır,Bismil,Erkek,1295,3098,6599,6515,3365,8138,3595,228,12,91,32936
6,Diyarbakır,Bismil,Kadın,5812,8217,5864,5096,1814,5189,2091,58,8,110,34259
7,Diyarbakır,Bismil,Toplam,7107,11315,12463,11611,5179,13327,5686,286,20,201,67195
9,Diyarbakır,Çermik,Erkek,637,1460,3679,3613,1549,2691,1431,91,6,22,15179
10,Diyarbakır,Çermik,Kadın,2878,2857,3205,2545,878,1947,1040,27,5,33,15415
11,Diyarbakır,Çermik,Toplam,3515,4317,6884,6158,2427,4638,2471,118,11,55,30594
13,Diyarbakır,Çınar,Erkek,979,2715,4251,5093,1518,2654,1199,61,7,27,18504
14,Diyarbakır,Çınar,Kadın,4398,6714,2752,3091,677,1299,456,17,2,54,19460
15,Diyarbakır,Çınar,Toplam,5377,9429,7003,8184,2195,3953,1655,78,9,81,37964
17,Diyarbakır,Çüngüş,Erkek,227,324,932,792,431,754,397,16,2,2,3877
18,Diyarbakır,Çüngüş,Kadın,1010,628,891,606,263,452,244,8,1,6,4109
19,Diyarbakır,Çüngüş,Toplam,1237,952,1823,1398,694,1206,641,24,3,8,7986
21,Diyarbakır,Dicle,Erkek,859,1298,2313,2725,998,1945,804,27,7,95,11071
22,Diyarbakır,Dicle,Kadın,3041,2917,1584,1686,544,1017,345,3,2,184,11323
23,Diyarbakır,Dicle,Toplam,3900,4215,3897,4411,1542,2962,1149,30,9,279,22394
25,Diyarbakır,Eğil,Erkek,504,759,1414,1789,672,1102,599,28,3,7,6877
26,Diyarbakır,Eğil,Kadın,2413,1761,846,1053,257,551,238,8,0,16,7143
27,Diyarbakır,Eğil,Toplam,2917,2520,2260,2842,929,1653,837,36,3,23,14020
29,Diyarbakır,Ergani,Erkek,1828,3131,7108,7390,4379,10287,5289,366,18,28,39824
30,Diyarbakır,Ergani,Kadın,7814,7456,7436,5157,2499,6056,3199,113,15,55,39800
31,Diyarbakır,Ergani,Toplam,9642,10587,14544,12547,6878,16343,8488,479,33,83,79624
33,Diyarbakır,Hani,Erkek,605,1120,1834,2323,1016,1853,776,41,3,8,9579
34,Diyarbakır,Hani,Kadın,2579,2542,1227,1348,346,789,278,13,3,19,9144
35,Diyarbakır,Hani,Toplam,3184,3662,3061,3671,1362,2642,1054,54,6,27,18723
37,Diyarbakır,Hazro,Erkek,341,618,1156,1103,420,796,313,14,2,14,4777
38,Diyarbakır,Hazro,Kadın,1446,1253,692,783,199,327,131,2,0,16,4849
39,Diyarbakır,Hazro,Toplam,1787,1871,1848,1886,619,1123,444,16,2,30,9626
41,Diyarbakır,Kayapınar,Erkek,1739,4571,12664,17985,10136,29294,25066,3118,461,148,105182
42,Diyarbakır,Kayapınar,Kadın,12009,15354,17279,13400,6731,22772,20330,1485,156,261,109777
43,Diyarbakır,Kayapınar,Toplam,13748,19925,29943,31385,16867,52066,45396,4603,617,409,214959
45,Diyarbakır,Kocaköy,Erkek,274,534,1086,1161,415,907,457,19,0,6,4859
46,Diyarbakır,Kocaköy,Kadın,1217,1136,661,780,262,559,238,6,0,8,4867
47,Diyarbakır,Kocaköy,Toplam,1491,1670,1747,1941,677,1466,695,25,0,14,9726
49,Diyarbakır,Kulp,Erkek,784,1557,2344,1698,916,2155,926,59,3,7,10449
50,Diyarbakır,Kulp,Kadın,2621,3059,1673,1295,543,1289,519,15,2,14,11030
51,Diyarbakır,Kulp,Toplam,3405,4616,4017,2993,1459,3444,1445,74,5,21,21479
53,Diyarbakır,Lice,Erkek,561,982,1712,1767,694,1590,724,46,1,9,8086
54,Diyarbakır,Lice,Kadın,1654,2224,1127,1128,332,905,381,9,1,15,7776
55,Diyarbakır,Lice,Toplam,2215,3206,2839,2895,1026,2495,1105,55,2,24,15862
57,Diyarbakır,Silvan,Erkek,843,2937,4927,4968,2684,5287,2469,167,13,35,24330
58,Diyarbakır,Silvan,Kadın,2720,9094,3588,3408,1413,3148,1402,45,9,51,24878
59,Diyarbakır,Silvan,Toplam,3563,12031,8515,8376,4097,8435,3871,212,22,86,49208
61,Diyarbakır,Sur,Erkek,1266,3302,5810,9430,3964,5712,2577,265,447,56,32829
62,Diyarbakır,Sur,Kadın,6622,8928,4914,5136,2055,3868,1610,156,135,105,33529
63,Diyarbakır,Sur,Toplam,7888,12230,10724,14566,6019,9580,4187,421,582,161,66358
65,Diyarbakır,Yenişehir,Erkek,1454,3908,7920,12735,5873,15571,12370,1226,164,130,61351
66,Diyarbakır,Yenişehir,Kadın,8885,10484,9459,8374,3960,12269,9233,650,91,216,63621
67,Diyarbakır,Yenişehir,Toplam,10339,14392,17379,21109,9833,27840,21603,1876,255,346,124972
1,Düzce,Akçakoca,Erkek,101,208,3575,1859,1452,4450,2405,162,47,121,14380
2,Düzce,Akçakoca,Kadın,843,895,5363,1340,1142,3314,1991,109,17,108,15122
3,Düzce,Akçakoca,Toplam,944,1103,8938,3199,2594,7764,4396,271,64,229,29502
5,Düzce,Cumayeri,Erkek,34,177,1372,1027,536,1457,579,47,6,20,5255
6,Düzce,Cumayeri,Kadın,249,485,1896,807,391,882,425,17,4,24,5180
7,Düzce,Cumayeri,Toplam,283,662,3268,1834,927,2339,1004,64,10,44,10435
9,Düzce,Çilimli,Erkek,53,196,1806,1448,644,1693,666,44,10,35,6595
10,Düzce,Çilimli,Kadın,380,878,2214,1103,427,1022,427,14,5,25,6495
11,Düzce,Çilimli,Toplam,433,1074,4020,2551,1071,2715,1093,58,15,60,13090
13,Düzce,Düzce Merkez,Erkek,560,1387,14783,15878,7558,23748,13245,1187,484,381,79211
14,Düzce,Düzce Merkez,Kadın,4146,5289,22776,12713,6093,17759,11341,909,256,431,81713
15,Düzce,Düzce Merkez,Toplam,4706,6676,37559,28591,13651,41507,24586,2096,740,812,160924
17,Düzce,Gölyaka,Erkek,115,307,2068,1600,924,1971,694,34,0,46,7759
18,Düzce,Gölyaka,Kadın,824,936,2364,1380,528,1163,536,24,4,33,7792
19,Düzce,Gölyaka,Toplam,939,1243,4432,2980,1452,3134,1230,58,4,79,15551
21,Düzce,Gümüşova,Erkek,53,179,1508,1194,619,1592,555,24,5,33,5762
22,Düzce,Gümüşova,Kadın,375,549,2082,869,427,979,467,14,3,38,5803
23,Düzce,Gümüşova,Toplam,428,728,3590,2063,1046,2571,1022,38,8,71,11565
25,Düzce,Kaynaşlı,Erkek,63,180,1668,1716,827,2284,789,36,10,52,7625
26,Düzce,Kaynaşlı,Kadın,641,560,2498,1329,576,1371,603,13,5,53,7649
27,Düzce,Kaynaşlı,Toplam,704,740,4166,3045,1403,3655,1392,49,15,105,15274
29,Düzce,Yığılca,Erkek,252,249,1755,1430,511,1060,364,14,3,40,5678
30,Düzce,Yığılca,Kadın,1136,483,2113,827,248,545,188,5,5,41,5591
31,Düzce,Yığılca,Toplam,1388,732,3868,2257,759,1605,552,19,8,81,11269
1,Edirne,Edirne Merkez,Erkek,408,835,11626,7850,6101,20682,13847,1517,724,278,63868
2,Edirne,Edirne Merkez,Kadın,1943,2199,17281,6755,5027,17198,13024,1456,599,315,65797
3,Edirne,Edirne Merkez,Toplam,2351,3034,28907,14605,11128,37880,26871,2973,1323,593,129665
5,Edirne,Enez,Erkek,71,218,1904,562,473,918,481,32,2,25,4686
6,Edirne,Enez,Kadın,335,439,2106,446,290,609,357,23,1,17,4623
7,Edirne,Enez,Toplam,406,657,4010,1008,763,1527,838,55,3,42,9309
9,Edirne,Havsa,Erkek,75,272,3027,887,902,1881,699,48,5,21,7817
10,Edirne,Havsa,Kadın,330,671,3763,745,576,1256,587,33,3,34,7998
11,Edirne,Havsa,Toplam,405,943,6790,1632,1478,3137,1286,81,8,55,15815
13,Edirne,İpsala,Erkek,151,421,4592,1468,1304,2383,742,43,9,24,11137
14,Edirne,İpsala,Kadın,589,1029,5196,1216,784,1415,580,20,4,14,10847
15,Edirne,İpsala,Toplam,740,1450,9788,2684,2088,3798,1322,63,13,38,21984
17,Edirne,Keşan,Erkek,476,1253,8648,3424,3189,8352,4851,380,64,115,30752
18,Edirne,Keşan,Kadın,1953,2290,11236,3176,2361,6268,4040,289,39,132,31784
19,Edirne,Keşan,Toplam,2429,3543,19884,6600,5550,14620,8891,669,103,247,62536
21,Edirne,Lalapaşa,Erkek,26,76,1234,397,332,524,154,9,0,8,2760
22,Edirne,Lalapaşa,Kadın,111,169,1449,314,140,299,115,5,1,10,2613
23,Edirne,Lalapaşa,Toplam,137,245,2683,711,472,823,269,14,1,18,5373
25,Edirne,Meriç,Erkek,202,387,2881,506,616,939,337,16,2,13,5899
26,Edirne,Meriç,Kadın,651,895,2910,360,281,515,252,12,0,13,5889
27,Edirne,Meriç,Toplam,853,1282,5791,866,897,1454,589,28,2,26,11788
29,Edirne,Süloğlu,Erkek,38,74,1033,257,246,640,212,13,2,9,2524
30,Edirne,Süloğlu,Kadın,115,191,1222,255,138,315,157,3,2,10,2408
31,Edirne,Süloğlu,Toplam,153,265,2255,512,384,955,369,16,4,19,4932
33,Edirne,Uzunköprü,Erkek,493,983,9388,3283,2339,4827,2503,167,22,102,24107
34,Edirne,Uzunköprü,Kadın,1553,1648,12109,2005,1611,3816,2133,134,12,84,25105
35,Edirne,Uzunköprü,Toplam,2046,2631,21497,5288,3950,8643,4636,301,34,186,49212
1,Elazığ,Ağın,Erkek,18,32,252,75,163,310,207,13,1,1,1072
2,Elazığ,Ağın,Kadın,101,188,514,66,86,151,95,7,1,4,1213
3,Elazığ,Ağın,Toplam,119,220,766,141,249,461,302,20,2,5,2285
5,Elazığ,Alacakaya,Erkek,55,96,447,501,402,678,227,14,0,3,2423
6,Elazığ,Alacakaya,Kadın,201,320,973,310,75,266,121,8,1,4,2279
7,Elazığ,Alacakaya,Toplam,256,416,1420,811,477,944,348,22,1,7,4702
9,Elazığ,Arıcak,Erkek,128,357,1107,1163,537,1043,557,28,3,10,4933
10,Elazığ,Arıcak,Kadın,556,1598,997,664,198,410,251,8,1,6,4689
11,Elazığ,Arıcak,Toplam,684,1955,2104,1827,735,1453,808,36,4,16,9622
13,Elazığ,Baskil,Erkek,219,230,1219,650,598,1304,607,30,9,16,4882
14,Elazığ,Baskil,Kadın,745,997,1428,568,278,744,376,13,3,16,5168
15,Elazığ,Baskil,Toplam,964,1227,2647,1218,876,2048,983,43,12,32,10050
17,Elazığ,Elazığ Merkez,Erkek,2245,3712,19148,20494,16920,48110,30363,3481,1204,840,146517
18,Elazığ,Elazığ Merkez,Kadın,11403,19898,38917,16950,11501,33614,22759,2301,549,945,158837
19,Elazığ,Elazığ Merkez,Toplam,13648,23610,58065,37444,28421,81724,53122,5782,1753,1785,305354
21,Elazığ,Karakoçan,Erkek,360,673,2593,1971,1002,1912,982,88,6,144,9731
22,Elazığ,Karakoçan,Kadın,1074,2046,3040,1410,537,1324,744,37,6,94,10312
23,Elazığ,Karakoçan,Toplam,1434,2719,5633,3381,1539,3236,1726,125,12,238,20043
25,Elazığ,Keban,Erkek,63,103,502,244,332,774,346,26,6,1,2397
26,Elazığ,Keban,Kadın,286,433,785,261,160,509,192,8,2,5,2641
27,Elazığ,Keban,Toplam,349,536,1287,505,492,1283,538,34,8,6,5038
29,Elazığ,Kovancılar,Erkek,373,669,2598,2909,1634,2863,1407,100,5,131,12689
30,Elazığ,Kovancılar,Kadın,1291,2514,3991,2116,691,1826,881,35,6,100,13451
31,Elazığ,Kovancılar,Toplam,1664,3183,6589,5025,2325,4689,2288,135,11,231,26140
33,Elazığ,Maden,Erkek,116,305,850,659,549,1196,380,30,1,18,4104
34,Elazığ,Maden,Kadın,517,1012,1222,453,304,531,244,8,0,38,4329
35,Elazığ,Maden,Toplam,633,1317,2072,1112,853,1727,624,38,1,56,8433
37,Elazığ,Palu,Erkek,265,337,1099,1604,804,1737,612,45,4,20,6527
38,Elazığ,Palu,Kadın,716,1740,1543,1085,366,779,294,15,0,17,6555
39,Elazığ,Palu,Toplam,981,2077,2642,2689,1170,2516,906,60,4,37,13082
41,Elazığ,Sivrice,Erkek,119,241,733,426,332,754,317,19,2,18,2961
42,Elazığ,Sivrice,Kadın,545,851,885,354,150,342,159,0,0,23,3309
43,Elazığ,Sivrice,Toplam,664,1092,1618,780,482,1096,476,19,2,41,6270
1,Erzincan,Çayırlı,Erkek,81,126,1116,534,480,792,297,20,4,40,3490
2,Erzincan,Çayırlı,Kadın,416,417,1256,415,214,417,205,13,1,46,3400
3,Erzincan,Çayırlı,Toplam,497,543,2372,949,694,1209,502,33,5,86,6890
5,Erzincan,Erzincan Merkez,Erkek,767,1043,7988,7022,5625,16465,11027,1147,434,400,51918
6,Erzincan,Erzincan Merkez,Kadın,4672,3260,13480,6701,4620,12741,8192,649,199,458,54972
7,Erzincan,Erzincan Merkez,Toplam,5439,4303,21468,13723,10245,29206,19219,1796,633,858,106890
9,Erzincan,İliç,Erkek,71,145,1056,461,361,668,419,37,7,14,3239
10,Erzincan,İliç,Kadın,488,394,1105,358,162,321,245,10,1,9,3093
11,Erzincan,İliç,Toplam,559,539,2161,819,523,989,664,47,8,23,6332
13,Erzincan,Kemah,Erkek,82,132,1274,312,282,598,259,20,3,29,2991
14,Erzincan,Kemah,Kadın,474,401,1265,295,110,217,135,8,1,37,2943
15,Erzincan,Kemah,Toplam,556,533,2539,607,392,815,394,28,4,66,5934
17,Erzincan,Kemaliye,Erkek,29,88,754,151,239,435,263,24,9,23,2015
18,Erzincan,Kemaliye,Kadın,240,186,817,142,116,261,188,13,5,27,1995
19,Erzincan,Kemaliye,Toplam,269,274,1571,293,355,696,451,37,14,50,4010
21,Erzincan,Otlukbeli,Erkek,22,51,276,125,148,243,91,9,0,6,971
